,model,split,f2_score,lr,latent_dim,n_steps,lambda_weight,hidden_dims
0,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",0,0.8333333333333334,0.0001,128,100,0.1,"[1024, 512]"
1,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",1,0.8333333333333334,0.0001,128,100,0.1,"[1024, 512]"
2,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",2,0.8333333333333334,0.0001,128,100,0.1,"[1024, 512]"
3,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",3,0.8333333333333334,0.0001,128,100,0.1,"[1024, 512]"
4,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",4,0.8333333333333334,0.0001,128,100,0.1,"[1024, 512]"
5,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",0,0.8333333333333334,0.0001,128,100,0.1,"[2048, 1024, 512]"
6,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",1,0.8333333333333334,0.0001,128,100,0.1,"[2048, 1024, 512]"
7,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",2,0.8333333333333334,0.0001,128,100,0.1,"[2048, 1024, 512]"
8,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",3,0.8333333333333334,0.0001,128,100,0.1,"[2048, 1024, 512]"
9,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",4,0.8333333333333334,0.0001,128,100,0.1,"[2048, 1024, 512]"
10,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",0,0.8333333333333334,0.0001,128,100,0.5,"[1024, 512]"
11,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",1,0.8333333333333334,0.0001,128,100,0.5,"[1024, 512]"
12,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",2,0.8339828526890102,0.0001,128,100,0.5,"[1024, 512]"
13,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",3,0.8333333333333334,0.0001,128,100,0.5,"[1024, 512]"
14,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",4,0.8333333333333334,0.0001,128,100,0.5,"[1024, 512]"
15,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",0,0.8333333333333334,0.0001,128,100,0.5,"[2048, 1024, 512]"
16,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",1,0.8333333333333334,0.0001,128,100,0.5,"[2048, 1024, 512]"
17,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",2,0.8333333333333334,0.0001,128,100,0.5,"[2048, 1024, 512]"
18,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",3,0.8333333333333334,0.0001,128,100,0.5,"[2048, 1024, 512]"
19,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",4,0.8333333333333334,0.0001,128,100,0.5,"[2048, 1024, 512]"
20,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",0,0.8333333333333334,0.0001,128,100,0.9,"[1024, 512]"
21,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",1,0.8333333333333334,0.0001,128,100,0.9,"[1024, 512]"
22,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",2,0.8333333333333334,0.0001,128,100,0.9,"[1024, 512]"
23,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",3,0.8333333333333334,0.0001,128,100,0.9,"[1024, 512]"
24,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",4,0.8339828526890102,0.0001,128,100,0.9,"[1024, 512]"
25,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",0,0.8333333333333334,0.0001,128,100,0.9,"[2048, 1024, 512]"
26,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",1,0.8333333333333334,0.0001,128,100,0.9,"[2048, 1024, 512]"
27,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",2,0.8346333853354134,0.0001,128,100,0.9,"[2048, 1024, 512]"
28,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",3,0.8333333333333334,0.0001,128,100,0.9,"[2048, 1024, 512]"
29,"lr_0.0001_latent_dim_128_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",4,0.8333333333333334,0.0001,128,100,0.9,"[2048, 1024, 512]"
30,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",0,0.8333333333333334,0.0001,256,100,0.1,"[1024, 512]"
31,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",1,0.8333333333333334,0.0001,256,100,0.1,"[1024, 512]"
32,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",2,0.8339828526890102,0.0001,256,100,0.1,"[1024, 512]"
33,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",3,0.8333333333333334,0.0001,256,100,0.1,"[1024, 512]"
34,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[1024, 512]/",4,0.8333333333333334,0.0001,256,100,0.1,"[1024, 512]"
35,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",0,0.8333333333333334,0.0001,256,100,0.1,"[2048, 1024, 512]"
36,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",1,0.8333333333333334,0.0001,256,100,0.1,"[2048, 1024, 512]"
37,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",2,0.8333333333333334,0.0001,256,100,0.1,"[2048, 1024, 512]"
38,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",3,0.8333333333333334,0.0001,256,100,0.1,"[2048, 1024, 512]"
39,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.1_hidden_dims_[2048, 1024, 512]/",4,0.8333333333333334,0.0001,256,100,0.1,"[2048, 1024, 512]"
40,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",0,0.8333333333333334,0.0001,256,100,0.5,"[1024, 512]"
41,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",1,0.8333333333333334,0.0001,256,100,0.5,"[1024, 512]"
42,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",2,0.8333333333333334,0.0001,256,100,0.5,"[1024, 512]"
43,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",3,0.8333333333333334,0.0001,256,100,0.5,"[1024, 512]"
44,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[1024, 512]/",4,0.8333333333333334,0.0001,256,100,0.5,"[1024, 512]"
45,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",0,0.8346394984326019,0.0001,256,100,0.5,"[2048, 1024, 512]"
46,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",1,0.8333333333333334,0.0001,256,100,0.5,"[2048, 1024, 512]"
47,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",2,0.8333333333333334,0.0001,256,100,0.5,"[2048, 1024, 512]"
48,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",3,0.8333333333333334,0.0001,256,100,0.5,"[2048, 1024, 512]"
49,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.5_hidden_dims_[2048, 1024, 512]/",4,0.8333333333333334,0.0001,256,100,0.5,"[2048, 1024, 512]"
50,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",0,0.8333333333333334,0.0001,256,100,0.9,"[1024, 512]"
51,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",1,0.8333333333333334,0.0001,256,100,0.9,"[1024, 512]"
52,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",2,0.8333333333333334,0.0001,256,100,0.9,"[1024, 512]"
53,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",3,0.8333333333333334,0.0001,256,100,0.9,"[1024, 512]"
54,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[1024, 512]/",4,0.8333333333333334,0.0001,256,100,0.9,"[1024, 512]"
55,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",0,0.8333333333333334,0.0001,256,100,0.9,"[2048, 1024, 512]"
56,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",1,0.8333333333333334,0.0001,256,100,0.9,"[2048, 1024, 512]"
57,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",2,0.8333333333333334,0.0001,256,100,0.9,"[2048, 1024, 512]"
58,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",3,0.8333333333333334,0.0001,256,100,0.9,"[2048, 1024, 512]"
59,"lr_0.0001_latent_dim_256_n_steps_100_lambda_weight_0.9_hidden_dims_[2048, 1024, 512]/",4,0.8333333333333334,0.0001,256,100,0.9,"[2048, 1024, 512]"
