,model,split,f2_score,kernel,nu,gamma
0,kernel_linear_nu_0.01_gamma_scale/,0,0.8339828526890102,linear,0.01,scale
1,kernel_linear_nu_0.01_gamma_scale/,1,0.836591086786552,linear,0.01,scale
2,kernel_linear_nu_0.01_gamma_scale/,2,0.8346333853354134,linear,0.01,scale
3,kernel_linear_nu_0.01_gamma_scale/,3,0.837245696400626,linear,0.01,scale
4,kernel_linear_nu_0.01_gamma_scale/,4,0.8352849336455894,linear,0.01,scale
5,kernel_linear_nu_0.01_gamma_auto/,0,0.8339828526890102,linear,0.01,auto
6,kernel_linear_nu_0.01_gamma_auto/,1,0.836591086786552,linear,0.01,auto
7,kernel_linear_nu_0.01_gamma_auto/,2,0.8346333853354134,linear,0.01,auto
8,kernel_linear_nu_0.01_gamma_auto/,3,0.837245696400626,linear,0.01,auto
9,kernel_linear_nu_0.01_gamma_auto/,4,0.8352849336455894,linear,0.01,auto
10,kernel_linear_nu_0.05_gamma_scale/,0,0.8339828526890102,linear,0.05,scale
11,kernel_linear_nu_0.05_gamma_scale/,1,0.836591086786552,linear,0.05,scale
12,kernel_linear_nu_0.05_gamma_scale/,2,0.8346333853354134,linear,0.05,scale
13,kernel_linear_nu_0.05_gamma_scale/,3,0.837245696400626,linear,0.05,scale
14,kernel_linear_nu_0.05_gamma_scale/,4,0.8352849336455894,linear,0.05,scale
15,kernel_linear_nu_0.05_gamma_auto/,0,0.8339828526890102,linear,0.05,auto
16,kernel_linear_nu_0.05_gamma_auto/,1,0.836591086786552,linear,0.05,auto
17,kernel_linear_nu_0.05_gamma_auto/,2,0.8346333853354134,linear,0.05,auto
18,kernel_linear_nu_0.05_gamma_auto/,3,0.837245696400626,linear,0.05,auto
19,kernel_linear_nu_0.05_gamma_auto/,4,0.8352849336455894,linear,0.05,auto
20,kernel_linear_nu_0.1_gamma_scale/,0,0.8346333853354134,linear,0.1,scale
21,kernel_linear_nu_0.1_gamma_scale/,1,0.836591086786552,linear,0.1,scale
22,kernel_linear_nu_0.1_gamma_scale/,2,0.8352849336455894,linear,0.1,scale
23,kernel_linear_nu_0.1_gamma_scale/,3,0.837245696400626,linear,0.1,scale
24,kernel_linear_nu_0.1_gamma_scale/,4,0.8359375,linear,0.1,scale
25,kernel_linear_nu_0.1_gamma_auto/,0,0.8346333853354134,linear,0.1,auto
26,kernel_linear_nu_0.1_gamma_auto/,1,0.836591086786552,linear,0.1,auto
27,kernel_linear_nu_0.1_gamma_auto/,2,0.8352849336455894,linear,0.1,auto
28,kernel_linear_nu_0.1_gamma_auto/,3,0.837245696400626,linear,0.1,auto
29,kernel_linear_nu_0.1_gamma_auto/,4,0.8359375,linear,0.1,auto
30,kernel_linear_nu_0.2_gamma_scale/,0,0.8346333853354134,linear,0.2,scale
31,kernel_linear_nu_0.2_gamma_scale/,1,0.836591086786552,linear,0.2,scale
32,kernel_linear_nu_0.2_gamma_scale/,2,0.8352849336455894,linear,0.2,scale
33,kernel_linear_nu_0.2_gamma_scale/,3,0.837245696400626,linear,0.2,scale
34,kernel_linear_nu_0.2_gamma_scale/,4,0.8359375,linear,0.2,scale
35,kernel_linear_nu_0.2_gamma_auto/,0,0.8346333853354134,linear,0.2,auto
36,kernel_linear_nu_0.2_gamma_auto/,1,0.836591086786552,linear,0.2,auto
37,kernel_linear_nu_0.2_gamma_auto/,2,0.8352849336455894,linear,0.2,auto
38,kernel_linear_nu_0.2_gamma_auto/,3,0.837245696400626,linear,0.2,auto
39,kernel_linear_nu_0.2_gamma_auto/,4,0.8359375,linear,0.2,auto
40,kernel_rbf_nu_0.01_gamma_scale/,0,0.8581788879935536,rbf,0.01,scale
41,kernel_rbf_nu_0.01_gamma_scale/,1,0.852,rbf,0.01,scale
42,kernel_rbf_nu_0.01_gamma_scale/,2,0.8579638752052545,rbf,0.01,scale
43,kernel_rbf_nu_0.01_gamma_scale/,3,0.8333333333333334,rbf,0.01,scale
44,kernel_rbf_nu_0.01_gamma_scale/,4,0.8333333333333334,rbf,0.01,scale
45,kernel_rbf_nu_0.01_gamma_auto/,0,0.8333333333333334,rbf,0.01,auto
46,kernel_rbf_nu_0.01_gamma_auto/,1,0.8333333333333334,rbf,0.01,auto
47,kernel_rbf_nu_0.01_gamma_auto/,2,0.8333333333333334,rbf,0.01,auto
48,kernel_rbf_nu_0.01_gamma_auto/,3,0.8333333333333334,rbf,0.01,auto
49,kernel_rbf_nu_0.01_gamma_auto/,4,0.8333333333333334,rbf,0.01,auto
50,kernel_rbf_nu_0.05_gamma_scale/,0,0.8581788879935536,rbf,0.05,scale
51,kernel_rbf_nu_0.05_gamma_scale/,1,0.8526821457165733,rbf,0.05,scale
52,kernel_rbf_nu_0.05_gamma_scale/,2,0.8579638752052545,rbf,0.05,scale
53,kernel_rbf_nu_0.05_gamma_scale/,3,0.8333333333333334,rbf,0.05,scale
54,kernel_rbf_nu_0.05_gamma_scale/,4,0.8333333333333334,rbf,0.05,scale
55,kernel_rbf_nu_0.05_gamma_auto/,0,0.8333333333333334,rbf,0.05,auto
56,kernel_rbf_nu_0.05_gamma_auto/,1,0.8333333333333334,rbf,0.05,auto
57,kernel_rbf_nu_0.05_gamma_auto/,2,0.8333333333333334,rbf,0.05,auto
58,kernel_rbf_nu_0.05_gamma_auto/,3,0.8333333333333334,rbf,0.05,auto
59,kernel_rbf_nu_0.05_gamma_auto/,4,0.8514931396287329,rbf,0.05,auto
60,kernel_rbf_nu_0.1_gamma_scale/,0,0.8672199170124482,rbf,0.1,scale
61,kernel_rbf_nu_0.1_gamma_scale/,1,0.8513189448441247,rbf,0.1,scale
62,kernel_rbf_nu_0.1_gamma_scale/,2,0.8283002588438308,rbf,0.1,scale
63,kernel_rbf_nu_0.1_gamma_scale/,3,0.8333333333333334,rbf,0.1,scale
64,kernel_rbf_nu_0.1_gamma_scale/,4,0.8333333333333334,rbf,0.1,scale
65,kernel_rbf_nu_0.1_gamma_auto/,0,0.8333333333333334,rbf,0.1,auto
66,kernel_rbf_nu_0.1_gamma_auto/,1,0.8333333333333334,rbf,0.1,auto
67,kernel_rbf_nu_0.1_gamma_auto/,2,0.8333333333333334,rbf,0.1,auto
68,kernel_rbf_nu_0.1_gamma_auto/,3,0.8333333333333334,rbf,0.1,auto
69,kernel_rbf_nu_0.1_gamma_auto/,4,0.8588709677419355,rbf,0.1,auto
70,kernel_rbf_nu_0.2_gamma_scale/,0,0.8637469586374696,rbf,0.2,scale
71,kernel_rbf_nu_0.2_gamma_scale/,1,0.8561093247588425,rbf,0.2,scale
72,kernel_rbf_nu_0.2_gamma_scale/,2,0.8579638752052545,rbf,0.2,scale
73,kernel_rbf_nu_0.2_gamma_scale/,3,0.8566853482786229,rbf,0.2,scale
74,kernel_rbf_nu_0.2_gamma_scale/,4,0.8471892319873318,rbf,0.2,scale
75,kernel_rbf_nu_0.2_gamma_auto/,0,0.8333333333333334,rbf,0.2,auto
76,kernel_rbf_nu_0.2_gamma_auto/,1,0.8403010033444817,rbf,0.2,auto
77,kernel_rbf_nu_0.2_gamma_auto/,2,0.8333333333333334,rbf,0.2,auto
78,kernel_rbf_nu_0.2_gamma_auto/,3,0.8602584814216478,rbf,0.2,auto
79,kernel_rbf_nu_0.2_gamma_auto/,4,0.8283002588438308,rbf,0.2,auto
